City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Teya,RU,1617995802,60.3778,92.6267,97,97,24.89,2.06
Richards Bay,ZA,1617995802,-28.783,32.0377,0,87,68.9,1.3
Kulhudhuffushi,MV,1617995803,6.6221,73.07,0,75,82.31,5.44
Airai,TL,1617995728,-8.9266,125.4092,87,84,57.04,1.54
Bojnourd,IR,1617995803,37.4747,57.329,0,31,60.8,6.91
Vestmannaeyjar,IS,1617995804,63.4427,-20.2734,4,52,31.75,14.56
Rikitea,PF,1617995606,-23.1203,-134.9692,61,71,77.58,9.78
Ko Samui,TH,1617995804,9.5357,99.9357,6,67,83.8,3.13
Albany,US,1617995704,42.6001,-73.9662,75,40,70.0,14.97
Gornopravdinsk,RU,1617995805,60.05,69.9,94,95,35.17,6.44
Ati,TD,1617995806,13.2154,18.3353,0,6,91.53,8.08
Suihua,CN,1617995806,46.6406,126.9969,100,31,40.91,10.42
Hilo,US,1617995732,19.7297,-155.09,40,53,75.2,5.75
Medak,IN,1617995806,18.0333,78.2667,32,43,82.0,1.99
Kasane,BW,1617995807,-17.8167,25.15,0,45,68.0,2.3
Nishihara,JP,1617995807,26.1842,127.7558,40,64,69.8,10.36
Mahébourg,MU,1617995765,-20.4081,57.7,75,100,73.4,4.61
Mataura,NZ,1617995808,-46.1927,168.8643,100,90,45.0,1.01
Ushuaia,AR,1617995685,-54.8,-68.3,20,57,46.4,23.02
Ngora,UG,1617995809,1.4314,33.7772,100,81,68.43,7.36
Jinchang,CN,1617995809,38.4953,102.1739,100,57,48.88,3.44
Methóni,GR,1617995809,36.8197,21.7049,18,53,50.0,3.44
Vanino,RU,1617995810,49.0869,140.2543,7,78,25.12,3.69
Grindavik,IS,1617995810,63.8424,-22.4338,40,100,30.2,5.75
Nome,US,1617995811,64.5011,-165.4064,1,65,-5.8,6.91
Beringovskiy,RU,1617995811,63.05,179.3167,100,94,5.49,12.77
Tubualá,PA,1617995811,9.5167,-79.0333,90,94,75.2,3.44
Vaini,TO,1617995812,-21.2,-175.2,75,88,73.4,4.61
Punta Arenas,CL,1617995812,-53.15,-70.9167,75,62,50.0,14.97
Kapaa,US,1617995813,22.0752,-159.319,20,64,75.2,10.36
Alice Springs,AU,1617995813,-23.7,133.8833,6,63,59.0,5.75
Sitka,US,1617995813,57.0531,-135.33,40,86,33.8,5.75
East London,ZA,1617995774,-33.0153,27.9116,20,100,62.6,1.14
Füzesgyarmat,HU,1617995814,47.1,21.2167,36,45,44.01,9.22
General Cepeda,MX,1617995814,25.3833,-101.45,1,23,86.0,9.22
Atuona,PF,1617995755,-9.8,-139.0333,46,78,80.82,17.6
Hue,VN,1617995815,16.4667,107.6,40,88,77.0,2.3
Bredasdorp,ZA,1617995669,-34.5322,20.0403,66,88,62.6,1.14
Ngaoundéré,CM,1617995816,7.3167,13.5833,100,44,76.06,5.64
Barrow,US,1617995705,71.2906,-156.7887,1,76,-14.8,12.66
Khatanga,RU,1617995675,71.9667,102.5,28,90,-16.06,4.21
Jamestown,US,1617995646,42.097,-79.2353,90,59,69.01,6.91
Provideniya,RU,1617995816,64.3833,-173.3,100,95,-0.74,10.29
Hermanus,ZA,1617995590,-34.4187,19.2345,48,88,64.0,6.87
Los Llanos de Aridane,ES,1617995817,28.6585,-17.9182,20,77,68.0,4.61
Bluff,NZ,1617995817,-46.6,168.3333,100,90,45.0,1.01
Bambous Virieux,MU,1617995818,-20.3428,57.7575,75,100,79.0,4.61
Umluj,SA,1617995818,25.0213,37.2685,0,59,73.94,7.16
Preobrazheniye,RU,1617995819,42.9019,133.9064,32,66,34.32,5.79
Qaanaaq,GL,1617995819,77.484,-69.3632,0,70,13.78,5.21
Malakal,SS,1617995820,9.5334,31.6605,1,14,95.41,3.04
Monterey,US,1617995728,36.2505,-121.2516,58,54,64.0,13.0
Ust-Maya,RU,1617995820,60.4167,134.5333,100,99,26.74,1.59
Livingston,GB,1617995640,55.9029,-3.5226,0,48,41.0,8.05
Avarua,CK,1617995821,-21.2078,-159.775,75,89,80.6,3.44
Qaqortoq,GL,1617995821,60.7167,-46.0333,75,53,44.6,4.61
Tuktoyaktuk,CA,1617995822,69.4541,-133.0374,90,69,-16.6,17.27
Aklavik,CA,1617995822,68.2191,-135.0107,90,63,-16.6,16.11
San Andrés,CO,1617995823,12.5847,-81.7006,75,74,82.4,11.5
Faanui,PF,1617995695,-16.4833,-151.75,100,70,81.7,8.79
Kiruna,SE,1617995823,67.8557,20.2251,90,93,23.0,8.05
Tegul'det,RU,1617995824,57.3064,88.1667,100,97,31.64,2.37
Port Elizabeth,ZA,1617995824,-33.918,25.5701,20,94,59.0,4.61
Shelburne,CA,1617995824,44.0787,-80.2041,75,55,69.8,9.22
Arraial do Cabo,BR,1617995825,-22.9661,-42.0278,0,57,84.2,11.5
Port Alfred,ZA,1617995679,-33.5906,26.891,72,85,63.97,1.99
Vaitape,PF,1617995825,-16.5167,-151.75,95,70,81.7,8.68
Hong Kong,HK,1617995826,22.2855,114.1577,95,79,70.0,1.99
Nicoya,CR,1617995826,10.1483,-85.452,40,46,93.2,8.05
Kavieng,PG,1617995827,-2.5744,150.7967,79,78,80.56,2.26
Busselton,AU,1617995827,-33.65,115.3333,0,79,59.0,4.0
Zykovo,RU,1617995828,55.9519,93.1461,0,75,33.8,4.47
Pauini,BR,1617995828,-7.7136,-66.9764,100,58,87.6,4.29
Aberystwyth,GB,1617995828,52.4155,-4.0829,40,2,42.01,1.01
Tiksi,RU,1617995829,71.6872,128.8694,100,100,-15.99,7.07
Vila Franca do Campo,PT,1617995829,37.7167,-25.4333,20,72,62.6,6.91
Souillac,MU,1617995796,-20.5167,57.5167,75,100,73.4,4.61
Yumaguzino,RU,1617995830,52.9041,56.3933,100,93,39.06,4.97
Narsaq,GL,1617995831,60.9167,-46.05,75,53,44.6,4.61
Ust'-Koksa,RU,1617995831,50.2696,85.6108,14,89,22.73,2.39
Aksu,CN,1617995831,41.1231,80.2644,74,51,53.28,2.55
Punta de Bombón,PE,1617995832,-17.1717,-71.7931,89,72,70.07,6.6
Iqaluit,CA,1617995811,63.7506,-68.5145,20,73,17.6,17.27
Opuwo,NA,1617995733,-18.0607,13.84,0,37,73.72,9.01
Cidreira,BR,1617995833,-30.1811,-50.2056,7,65,77.76,11.72
Río Gallegos,AR,1617995833,-51.6226,-69.2181,0,33,59.0,13.8
Gonder,ET,1617995833,12.6,37.4667,76,27,71.82,3.47
Hedaru,TZ,1617995834,-4.5,37.9,35,89,71.26,4.99
Cherskiy,RU,1617995834,68.75,161.3,100,84,-8.0,2.89
Puerto del Rosario,ES,1617995835,28.5004,-13.8627,40,60,73.4,13.8
Nikolskoye,RU,1617995835,59.7035,30.7861,75,75,41.0,17.9
Christchurch,NZ,1617995835,-43.5333,172.6333,40,94,61.0,5.75
Carnarvon,AU,1617995785,-24.8667,113.6333,40,73,78.8,6.91
Pacific Grove,US,1617995655,36.6177,-121.9166,20,62,57.2,9.22
Luanda,AO,1617995701,-8.8368,13.2343,75,89,78.8,11.5
Laas,IT,1617995837,46.6166,10.7002,0,75,53.6,6.91
Asău,RO,1617995837,46.4333,26.4,8,42,37.99,4.9
Hasaki,JP,1617995838,35.7333,140.8333,75,65,45.0,11.5
Santa Vitória do Palmar,BR,1617995838,-33.5189,-53.3681,100,83,72.0,3.8
Faya,SA,1617995839,18.3851,42.4509,20,48,69.8,4.61
Burnie,AU,1617995839,-41.0667,145.9167,100,97,48.0,3.0
Pochutla,MX,1617995839,15.7432,-96.4661,20,55,91.0,11.5
Kenitra,MA,1617995840,34.261,-6.5802,75,82,62.6,6.51
Chui,UY,1617995840,-33.6971,-53.4616,100,86,71.24,1.79
Tarko-Sale,RU,1617995840,64.9225,77.785,100,86,32.79,18.07
Abu Kamal,SY,1617995841,34.4506,40.9171,36,26,71.89,12.37
Nanortalik,GL,1617995841,60.1432,-45.2371,100,93,37.15,11.45
Juli,PE,1617995842,-16.2167,-69.45,100,61,47.82,9.78
Palimbang,PH,1617995842,6.2106,124.1894,100,78,78.62,4.05
Ostrovnoy,RU,1617995680,68.0531,39.5131,10,79,27.48,21.07
Eirunepé,BR,1617995843,-6.6603,-69.8736,98,57,89.13,2.21
Fairbanks,US,1617995701,64.8378,-147.7164,75,50,-4.0,3.44
Norman Wells,CA,1617995674,65.282,-126.8329,90,71,-5.8,19.57
Pavlodar,KZ,1617995843,52.3,76.95,40,65,41.0,17.9
Hambantota,LK,1617995757,6.1241,81.1185,20,100,77.0,2.3
Salalah,OM,1617995844,17.0151,54.0924,40,69,82.4,5.75
Bilma,NE,1617995844,18.6853,12.9164,5,4,88.59,8.43
San Miguel de Tucumán,AR,1617995845,-26.8241,-65.2226,40,70,84.2,4.61
Pumiao,CN,1617995845,22.75,108.4833,90,100,59.0,6.71
Saint Paul Harbor,US,1617995602,57.79,-152.4072,1,22,28.4,18.41
Lüderitz,NA,1617995728,-26.6481,15.1594,0,51,75.51,9.04
Joshīmath,IN,1617995846,30.5667,79.5667,0,39,46.89,8.59
Nkwerre,NG,1617995846,5.7556,7.1063,100,62,83.93,9.55
Shagonar,RU,1617995847,51.5333,92.8,71,71,32.94,4.54
Tual,ID,1617995847,-5.6667,132.75,92,73,82.81,10.18
Hobart,AU,1617995790,-42.8794,147.3294,100,50,53.6,5.75
Antanifotsy,MG,1617995848,-19.65,47.3167,100,97,58.05,1.19
Bengkulu,ID,1617995848,-3.8004,102.2655,100,91,76.06,4.59
Puerto Ayora,EC,1617995849,-0.7393,-90.3518,90,94,75.2,3.44
Gorontalo,ID,1617995829,0.5412,123.0595,99,91,76.26,1.59
Tasiilaq,GL,1617995849,65.6145,-37.6368,75,80,24.8,3.44
Kjøllefjord,NO,1617995849,70.9457,27.3465,20,74,24.8,18.41
Lebu,CL,1617995850,-37.6167,-73.65,100,72,57.7,14.56
Saint George,US,1617995708,37.1041,-113.5841,1,14,73.99,0.38
Parabel',RU,1617995851,58.6978,81.4825,100,77,35.26,3.87
Kailua,US,1617995851,21.4022,-157.7394,40,53,75.2,9.22
Kajaani,FI,1617995851,64.2273,27.7285,90,93,33.8,11.5
Lavrentiya,RU,1617995852,65.5833,-171.0,100,97,-8.12,3.04
Thompson,CA,1617995852,55.7435,-97.8558,75,49,44.6,5.75
Ponta Delgada,PT,1617995853,37.7333,-25.6667,20,72,62.6,6.91
Victor Harbor,AU,1617995853,-35.5667,138.6167,62,85,57.99,1.01
Vao,NC,1617995854,-22.6667,167.4833,61,87,78.1,22.3
Alofi,NU,1617995811,-19.0595,-169.9187,42,88,77.0,1.14
Isangel,VU,1617995573,-19.55,169.2667,59,84,77.72,3.06
Yucca Valley,US,1617995727,34.1142,-116.4322,38,18,75.99,4.0
Ouégoa,NC,1617995855,-20.35,164.4333,100,95,75.79,9.08
Sur,OM,1617995855,22.5667,59.5289,0,60,80.98,13.02
Ballina,AU,1617995855,-28.8667,153.5667,0,94,64.99,6.58
Nuuk,GL,1617995856,64.1835,-51.7216,90,81,37.4,18.41
Fortuna,US,1617995856,40.5982,-124.1573,90,87,51.01,10.36
New Norfolk,AU,1617995671,-42.7826,147.0587,100,65,51.01,1.01
Mezhdurechensk,RU,1617995857,53.6942,88.0603,13,94,24.69,3.04
Muros,ES,1617995857,42.7762,-9.0603,97,88,61.0,7.0
Douglas,US,1617995743,41.3,-96.167,75,59,62.01,16.11
Severo-Kuril'sk,RU,1617995858,50.6789,156.125,67,89,28.94,7.74
Itarema,BR,1617995858,-2.9248,-39.9167,100,71,84.02,16.02
Butaritari,KI,1617995677,3.0707,172.7902,100,78,82.18,16.78
Kamaishi,JP,1617995726,39.2667,141.8833,12,72,36.37,4.68
Bethel,US,1617995860,41.3712,-73.414,1,45,64.99,12.66
Halifax,CA,1617995783,44.6453,-63.5724,40,36,62.6,19.57
Candolim,IN,1617995860,15.5181,73.7626,40,78,82.4,10.36
São Félix do Xingu,BR,1617995861,-6.6447,-51.995,41,53,88.93,5.39
Pasinler,TR,1617995861,39.9803,41.6764,75,57,46.4,6.91
Cape Town,ZA,1617995862,-33.9258,18.4232,20,88,68.0,17.27
Nālūt,LY,1617995862,30.3333,10.85,46,42,67.12,19.28
Jiayuguan City,CN,1617995863,39.8167,98.3,87,34,49.86,2.71
Longyearbyen,SJ,1617995863,78.2186,15.6401,75,69,30.2,11.5
Henties Bay,NA,1617995864,-22.116,14.2845,0,65,73.99,1.01
Manoel Urbano,BR,1617995864,-8.8389,-69.2597,97,72,84.13,3.06
Belyy Yar,RU,1617995864,53.6039,91.3903,0,74,30.2,4.47
Nara,JP,1617995865,34.6851,135.8049,2,55,41.0,2.04
Maniitsoq,GL,1617995865,65.4167,-52.9,100,99,31.95,20.71
Port Shepstone,ZA,1617995865,-30.7414,30.455,25,79,71.74,4.18
Charters Towers,AU,1617995866,-20.1,146.2667,51,77,70.52,4.05
Avera,US,1617995867,33.194,-82.5271,90,94,72.0,12.66
Moscow,RU,1617995851,55.7522,37.6156,0,45,41.0,8.95
Flinders,AU,1617995867,-34.5833,150.8552,14,100,57.99,5.75
Berlevåg,NO,1617995868,70.8578,29.0864,0,68,24.8,21.85
Tanout,NE,1617995868,14.9709,8.8879,67,5,88.79,12.5
Hualmay,PE,1617995868,-11.0964,-77.6139,82,76,73.24,7.02
Amarkantak,IN,1617995869,22.6667,81.75,6,28,73.0,3.47
Hithadhoo,MV,1617995869,-0.6,73.0833,0,67,82.99,11.03
Okhotsk,RU,1617995805,59.3833,143.3,51,84,6.17,5.61
Coquimbo,CL,1617995661,-29.9533,-71.3436,0,68,66.2,13.8
Nelson Bay,AU,1617995870,-32.7167,152.15,90,100,66.99,3.44
Kushmurun,KZ,1617995870,52.4503,64.6311,100,96,35.49,7.38
Pangnirtung,CA,1617995871,66.1451,-65.7125,90,93,17.6,11.5
Tokur,RU,1617995871,53.1333,132.9,93,97,11.46,2.98
Yellowknife,CA,1617995763,62.456,-114.3525,75,57,15.01,14.97
Port-Cartier,CA,1617995872,50.0334,-66.8654,40,47,53.6,3.44
Dunedin,NZ,1617995872,-45.8742,170.5036,93,93,52.0,1.01
Lompoc,US,1617995873,34.6391,-120.4579,5,51,62.6,19.57
Saint-Philippe,RE,1617995873,-21.3585,55.7679,100,73,78.8,4.61
Mar del Plata,AR,1617995874,-38.0023,-57.5575,20,73,68.0,9.22
Ust'-Tarka,RU,1617995874,55.5672,75.705,97,87,32.54,13.53
Torbay,CA,1617995875,47.6666,-52.7314,90,100,39.99,16.11
St. George's,GD,1617995875,12.0564,-61.7485,20,66,86.0,21.85
Mnogovershinnyy,RU,1617995875,53.9353,139.9242,62,92,15.82,2.82
Leningradskiy,RU,1617995876,69.3833,178.4167,49,96,-19.48,4.7
Vanimo,PG,1617995876,-2.6741,141.3028,100,88,78.71,8.19
Pullman,US,1617995731,46.7313,-117.1796,1,31,51.01,5.75
Vardø,NO,1617995704,70.3705,31.1107,0,68,23.0,21.85
Flin Flon,CA,1617995877,54.7682,-101.865,75,69,33.8,11.5
Cockburn Town,TC,1617995745,21.4612,-71.1419,40,54,80.6,11.5
Sierra Vista,US,1617995605,31.5545,-110.3037,1,9,77.0,13.8
Yaan,NG,1617995878,7.3833,8.5667,92,64,81.45,13.78
Antofagasta,CL,1617995878,-23.65,-70.4,40,68,72.0,14.97
Waitati,NZ,1617995879,-45.75,170.5667,100,97,52.0,1.32
Kupang,ID,1617995879,-10.1667,123.5833,49,87,76.55,3.18
Salinópolis,BR,1617995880,-0.6136,-47.3561,94,84,81.07,11.27
Petatlán,MX,1617995880,17.5167,-101.2667,1,54,86.0,11.5
Katsuura,JP,1617995880,35.1333,140.3,100,28,48.0,5.99
Neuquén,AR,1617995881,-38.9516,-68.0591,0,35,69.8,6.91
Lesnoy,RU,1617995881,57.6198,63.0784,92,98,36.12,7.43
Anadyr,RU,1617995881,64.75,177.4833,20,78,3.2,15.66
Vostok,RU,1617995882,46.4856,135.8833,88,80,20.03,5.12
Castro,BR,1617995882,-24.7911,-50.0119,28,46,77.23,3.56
North Branch,US,1617995883,45.5113,-92.9802,100,99,48.99,8.01
Atar,MR,1617995883,20.5169,-13.0499,0,11,93.4,11.56
Otjimbingwe,NA,1617995884,-22.35,16.1333,1,29,79.27,6.98
Bahía Blanca,AR,1617995884,-38.7196,-62.2724,0,25,75.2,5.01
Vryburg,ZA,1617995885,-26.9566,24.7284,0,37,70.21,4.7
Clyde River,CA,1617995885,70.4692,-68.5914,20,79,14.0,2.3
Geraldton,AU,1617995885,-28.7667,114.6,100,41,80.6,16.11
Todos Santos,MX,1617995886,23.45,-110.2167,24,75,75.0,3.0
Bontang,ID,1617995886,0.1333,117.5,100,89,75.65,6.29
Kudahuvadhoo,MV,1617995887,2.6708,72.8944,3,74,81.68,7.11
Shimoda,JP,1617995887,34.6667,138.95,98,70,48.0,17.67
Waghāi,IN,1617995888,20.7667,73.4833,7,49,77.68,2.39
Laibin,CN,1617995888,23.7,109.2667,100,76,63.45,7.72
Talnakh,RU,1617995889,69.4865,88.3972,100,89,18.25,9.19
Florianópolis,BR,1617995713,-27.6146,-48.5012,40,69,81.0,14.97
Ust-Nera,RU,1617995819,64.5667,143.2,100,97,7.43,5.79
Acapulco de Juárez,MX,1617995890,16.8634,-99.8901,1,66,86.0,6.91
Kumul,CN,1617995890,42.8,93.45,17,24,57.43,6.2
Libres,MX,1617995891,19.4667,-97.6833,30,20,78.37,5.82
Poya,NC,1617995891,-21.35,165.15,97,90,75.97,7.2
Okha,RU,1617995891,53.5739,142.9478,70,97,13.15,6.29
Makakilo City,US,1617995804,21.3469,-158.0858,1,57,75.2,6.91
Mount Gambier,AU,1617995864,-37.8333,140.7667,90,100,53.6,12.66
Brownsville,US,1617995698,25.9018,-97.4975,75,49,91.4,31.07
Mbandaka,CD,1617995892,0.0487,18.2603,100,87,73.35,5.21
Latung,PH,1617995893,5.5,120.8833,71,76,81.36,4.9
Sulangan,PH,1617995893,11.1373,123.7228,99,75,81.39,13.76
Suba,PH,1617995893,10.8438,121.0102,100,72,83.01,19.6
Prieska,ZA,1617995894,-29.6641,22.7474,100,27,79.52,7.31
Shingū,JP,1617995829,33.7333,135.9833,1,67,37.53,7.25
Chumikan,RU,1617995894,54.7183,135.315,78,80,26.29,15.64
Ancud,CL,1617995895,-41.8697,-73.8203,40,63,59.0,4.61
Ulladulla,AU,1617995895,-35.35,150.4667,87,100,55.99,5.75
Broome,US,1617995896,42.2506,-75.833,90,47,63.0,10.36
Ust'-Donetskiy,RU,1617995896,47.6419,40.8718,100,78,40.69,10.27
Hwange,ZW,1617995896,-18.3693,26.5019,45,47,69.46,2.21
Port Lincoln,AU,1617995897,-34.7333,135.8667,100,67,61.36,16.22
Vaxjo,SE,1617995894,56.8777,14.8091,8,60,39.2,12.66
Nemuro,JP,1617995895,43.3236,145.575,75,69,30.67,15.35
Wawa,NG,1617995897,9.9022,4.4192,66,29,92.79,2.24
Verkhoyansk,RU,1617995898,67.5447,133.385,96,98,-19.28,4.47
Talaya,RU,1617995898,61.3833,152.75,100,100,-15.25,1.28
Kahului,US,1617995899,20.8947,-156.47,20,57,77.0,9.22
Necochea,AR,1617995799,-38.5473,-58.7368,0,73,71.01,1.99
Huilong,CN,1617995853,31.8111,121.655,84,84,53.01,7.11
Bandarbeyla,SO,1617995900,9.4942,50.8122,0,64,78.46,8.19
São João da Barra,BR,1617995666,-21.6403,-41.0511,0,45,84.2,9.22
Taldan,RU,1617995900,53.6667,124.8,100,95,21.22,5.06
Montepuez,MZ,1617995901,-13.1256,38.9997,57,95,67.53,4.21
Pouembout,NC,1617995901,-21.1333,164.9,100,92,75.2,6.4
Sangar,RU,1617995901,63.9242,127.4739,100,96,17.44,3.36
Baixa Grande,BR,1617995902,-11.9597,-40.1681,98,66,78.06,11.92
Margate,GB,1617995902,51.3813,1.3862,100,58,50.0,1.99
Laguna,US,1617995777,38.421,-121.4238,1,42,69.01,6.91
Srednekolymsk,RU,1617995903,67.45,153.6833,100,99,-5.67,4.79
Ahipara,NZ,1617995903,-35.1667,173.1667,100,92,66.24,18.81
Örnsköldsvik,SE,1617995903,63.2909,18.7153,90,93,32.0,13.8
Westport,US,1617995782,41.1415,-73.3579,1,82,59.0,5.44
Trairi,BR,1617995904,-3.2778,-39.2689,100,76,82.18,13.24
Narón,ES,1617995904,43.5167,-8.1528,40,88,59.0,1.14
Don Sak,TH,1617995905,9.3168,99.6918,6,80,79.0,3.87
Upernavik,GL,1617995670,72.7868,-56.1549,100,92,23.72,12.35
Beitbridge,ZW,1617995905,-22.2167,30.0,0,50,75.85,9.15
Beyneu,KZ,1617995906,45.3167,55.2,9,44,67.86,16.89
Rincon,US,1617995906,32.296,-81.2354,90,83,72.0,11.5
Imuris,MX,1617995907,30.7833,-110.8667,0,13,82.35,5.28
Nyaunglebin,MM,1617995773,17.95,96.7333,15,67,79.47,4.81
Aksaray,TR,1617995650,38.3726,34.0254,75,75,35.6,26.46
Reinosa,ES,1617995907,42.9996,-4.138,75,82,60.01,5.37
Quezada,GT,1617995908,14.2722,-90.037,20,38,93.2,2.3
Mpraeso,GH,1617995908,6.5932,-0.7346,100,92,72.99,1.1
Riyadh,SA,1617995751,24.6877,46.7219,20,10,95.0,5.75
Provincia di Imperia,IT,1617995784,43.9667,7.7833,40,66,53.6,12.66
Sukhobezvodnoye,RU,1617995909,57.0491,44.8891,95,97,27.03,3.36
